N,epsilon,transition_prob,discount_factor,global_phase_size,aggregate_phase_size,algorithm,time,iterations,total_updates,error,num_mega_states,t_sa_final,theoretical_bound,speedup_updates
10,0.0005,0.6,0.85,2,10,value_iteration,0.0198862929828465,23,2300,0.0,,,0.006666666666666666,0.9426229508196722
10,0.0005,0.6,0.85,2,10,mega_state_agg,0.036213348153978586,74,2440,0.006305395797193469,30,60,0.006666666666666666,0.9426229508196722
10,0.0005,0.6,0.9,2,5,value_iteration,0.021294458769261837,25,2500,0.0,,,0.010000000000000002,0.9920634920634921
10,0.0005,0.6,0.9,2,5,mega_state_agg,0.037072828970849514,57,2520,0.007825592581804486,30,40,0.010000000000000002,0.9920634920634921
10,0.0005,0.6,0.9,2,10,value_iteration,0.02103756181895733,25,2500,0.0,,,0.010000000000000002,0.7485029940119761
10,0.0005,0.6,0.9,2,10,mega_state_agg,0.054394267965108156,97,3340,0.007528203916342235,30,80,0.010000000000000002,0.7485029940119761
10,0.0005,0.6,0.9,5,20,value_iteration,0.021651826333254576,25,2500,0.0,,,0.010000000000000002,0.8333333333333334
10,0.0005,0.6,0.9,5,20,mega_state_agg,0.043660933151841164,76,3000,0.008407572929337803,30,60,0.010000000000000002,0.8333333333333334
10,0.0005,0.6,0.95,2,5,value_iteration,0.025565064046531916,29,2900,0.0,,,0.019999999999999983,1.1068702290076335
10,0.0005,0.6,0.95,2,5,mega_state_agg,0.03365865536034107,58,2620,0.017073887557632617,30,40,0.019999999999999983,1.1068702290076335
10,0.0005,0.6,0.95,5,20,value_iteration,0.025641285814344883,29,2900,0.0,,,0.019999999999999983,1.3181818181818181
10,0.0005,0.6,0.95,5,20,mega_state_agg,0.032517556101083755,54,2200,0.016865515891842264,30,40,0.019999999999999983,1.3181818181818181
10,0.0005,0.6,0.95,2,10,value_iteration,0.026097317226231098,29,2900,0.0,,,0.019999999999999983,0.8682634730538922
10,0.0005,0.6,0.95,2,10,mega_state_agg,0.05524547025561333,97,3340,0.01703150921307639,30,80,0.019999999999999983,0.8682634730538922
10,0.0005,0.6,0.99,2,5,value_iteration,0.028869445901364088,32,3200,0.0,,,0.09999999999999991,1.4096916299559472
10,0.0005,0.6,0.99,2,5,mega_state_agg,0.02947774063795805,51,2270,0.09338059665630638,30,35,0.09999999999999991,1.4096916299559472
10,0.0005,0.7,0.8,2,5,value_iteration,0.016562760807573795,19,1900,0.0,,,0.005000000000000001,1.2101910828025477
